L_x,L_y,N_b,gate,block,matching,sharing,orbit_index,angle_rad
4,4,2,eSWAP,1,y_1,layer,,-2.9229347705841064
4,4,2,eSWAP,1,y_0,layer,,0.3733246326446533
4,4,2,eSWAP,1,x_1,layer,,0.37116003036499023
4,4,2,eSWAP,1,x_0,layer,,1.209026575088501
4,4,2,eSWAP,2,y_1,layer,,0.44249677658081055
4,4,2,eSWAP,2,y_0,layer,,0.592540979385376
4,4,2,eSWAP,2,x_1,layer,,0.44733238220214844
4,4,2,eSWAP,2,x_0,layer,,0.5847456455230713
4,4,3,eSWAP,1,y_1,layer,,-2.9580419063568115
4,4,3,eSWAP,1,y_0,layer,,0.3977057933807373
4,4,3,eSWAP,1,x_1,layer,,0.3671133518218994
4,4,3,eSWAP,1,x_0,layer,,1.2319138050079346
4,4,3,eSWAP,2,y_1,layer,,0.3298919200897217
4,4,3,eSWAP,2,y_0,layer,,0.5582370758056641
4,4,3,eSWAP,2,x_1,layer,,0.6397020816802979
4,4,3,eSWAP,2,x_0,layer,,0.8239128589630127
4,4,3,eSWAP,3,y_1,layer,,0.4211750030517578
4,4,3,eSWAP,3,y_0,layer,,0.5508153438568115
4,4,3,eSWAP,3,x_1,layer,,0.35036540031433105
4,4,3,eSWAP,3,x_0,layer,,0.42903900146484375
4,4,4,eSWAP,1,y_1,layer,,-2.990001916885376
4,4,4,eSWAP,1,y_0,layer,,0.30895304679870605
4,4,4,eSWAP,1,x_1,layer,,0.289839506149292
4,4,4,eSWAP,1,x_0,layer,,1.1611244678497314
4,4,4,eSWAP,2,y_1,layer,,0.29198336601257324
4,4,4,eSWAP,2,y_0,layer,,0.5094752311706543
4,4,4,eSWAP,2,x_1,layer,,0.5758969783782959
4,4,4,eSWAP,2,x_0,layer,,0.9029200077056885
4,4,4,eSWAP,3,y_1,layer,,0.3720414638519287
4,4,4,eSWAP,3,y_0,layer,,0.5652816295623779
4,4,4,eSWAP,3,x_1,layer,,0.585456132888794
4,4,4,eSWAP,3,x_0,layer,,0.7147791385650635
4,4,4,eSWAP,4,y_1,layer,,0.41757655143737793
4,4,4,eSWAP,4,y_0,layer,,0.4705240726470947
4,4,4,eSWAP,4,x_1,layer,,0.33724164962768555
4,4,4,eSWAP,4,x_0,layer,,0.30496978759765625
4,4,5,eSWAP,1,y_1,layer,,-2.980458654380424
4,4,5,eSWAP,1,y_0,layer,,0.25161538189497046
4,4,5,eSWAP,1,x_1,layer,,0.22440101372160992
4,4,5,eSWAP,1,x_0,layer,,1.2226089464106291
4,4,5,eSWAP,2,y_1,layer,,0.28860007569751955
4,4,5,eSWAP,2,y_0,layer,,0.4841596662307559
4,4,5,eSWAP,2,x_1,layer,,0.5227008500206889
4,4,5,eSWAP,2,x_0,layer,,0.9458497841701092
4,4,5,eSWAP,3,y_1,layer,,0.3724166286668642
4,4,5,eSWAP,3,y_0,layer,,0.5643837735190793
4,4,5,eSWAP,3,x_1,layer,,0.5827671949287581
4,4,5,eSWAP,3,x_0,layer,,0.83514116823947
4,4,5,eSWAP,4,y_1,layer,,0.40206899897548887
4,4,5,eSWAP,4,y_0,layer,,0.5411574271867035
4,4,5,eSWAP,4,x_1,layer,,0.5740363753204307
4,4,5,eSWAP,4,x_0,layer,,0.5866160389484012
4,4,5,eSWAP,5,y_1,layer,,0.3998490001651325
4,4,5,eSWAP,5,y_0,layer,,0.4198871907074011
4,4,5,eSWAP,5,x_1,layer,,0.26756072676070985
4,4,5,eSWAP,5,x_0,layer,,0.2623005993420291
4,4,6,eSWAP,1,y_1,layer,,-3.003007544836159
4,4,6,eSWAP,1,y_0,layer,,0.23800137280113276
4,4,6,eSWAP,1,x_1,layer,,0.19679603302602144
4,4,6,eSWAP,1,x_0,layer,,1.2606747391009545
4,4,6,eSWAP,2,y_1,layer,,0.28623684531926585
4,4,6,eSWAP,2,y_0,layer,,0.4794930050171473
4,4,6,eSWAP,2,x_1,layer,,0.4595644173529978
4,4,6,eSWAP,2,x_0,layer,,0.982478651282773
4,4,6,eSWAP,3,y_1,layer,,0.33612293863581044
4,4,6,eSWAP,3,y_0,layer,,0.5546411567090481
4,4,6,eSWAP,3,x_1,layer,,0.5499246151873955
4,4,6,eSWAP,3,x_0,layer,,0.830859014224071
4,4,6,eSWAP,4,y_1,layer,,0.41068329356120525
4,4,6,eSWAP,4,y_0,layer,,0.5576177666656172
4,4,6,eSWAP,4,x_1,layer,,0.5534357420460019
4,4,6,eSWAP,4,x_0,layer,,0.6971196746063626
4,4,6,eSWAP,5,y_1,layer,,0.39531226738875924
4,4,6,eSWAP,5,y_0,layer,,0.5002357181122443
