L_x,L_y,N_b,gate,block,matching,sharing,orbit_index,angle_rad
6,6,3,eSWAP,1,y_1,reflection_orbit,1,-2.8410964460195554
6,6,3,eSWAP,1,y_1,reflection_orbit,2,-3.076844849834313
6,6,3,eSWAP,1,y_1,reflection_orbit,3,-2.8918434328241682
6,6,3,eSWAP,1,y_0,reflection_orbit,1,0.2371620698200477
6,6,3,eSWAP,1,y_0,reflection_orbit,2,0.24107082607448516
6,6,3,eSWAP,1,y_0,reflection_orbit,3,0.5668529696244918
6,6,3,eSWAP,1,y_0,reflection_orbit,4,0.298186735404186
6,6,3,eSWAP,1,y_0,reflection_orbit,5,0.27051391358474824
6,6,3,eSWAP,1,y_0,reflection_orbit,6,0.5335488114571226
6,6,3,eSWAP,1,x_1,reflection_orbit,1,0.2228603742209081
6,6,3,eSWAP,1,x_1,reflection_orbit,2,0.5187592240331991
6,6,3,eSWAP,1,x_1,reflection_orbit,3,0.3193645638308793
6,6,3,eSWAP,1,x_0,reflection_orbit,1,1.429528908528136
6,6,3,eSWAP,1,x_0,reflection_orbit,2,1.379609631744196
6,6,3,eSWAP,1,x_0,reflection_orbit,3,1.1634145659130832
6,6,3,eSWAP,1,x_0,reflection_orbit,4,1.0846952956824674
6,6,3,eSWAP,1,x_0,reflection_orbit,5,1.2607475220384603
6,6,3,eSWAP,1,x_0,reflection_orbit,6,1.2756885851087507
6,6,3,eSWAP,2,y_1,reflection_orbit,1,0.20464562890701252
6,6,3,eSWAP,2,y_1,reflection_orbit,2,0.4424194149411192
6,6,3,eSWAP,2,y_1,reflection_orbit,3,0.3666536413080912
6,6,3,eSWAP,2,y_0,reflection_orbit,1,0.5079202289677155
6,6,3,eSWAP,2,y_0,reflection_orbit,2,0.44792321373245864
6,6,3,eSWAP,2,y_0,reflection_orbit,3,0.6515028045179166
6,6,3,eSWAP,2,y_0,reflection_orbit,4,0.5192107873459952
6,6,3,eSWAP,2,y_0,reflection_orbit,5,0.4665321082887295
6,6,3,eSWAP,2,y_0,reflection_orbit,6,0.6000748900863351
6,6,3,eSWAP,2,x_1,reflection_orbit,1,0.5252775000771728
6,6,3,eSWAP,2,x_1,reflection_orbit,2,0.8019727103189996
6,6,3,eSWAP,2,x_1,reflection_orbit,3,0.6109230890469498
6,6,3,eSWAP,2,x_0,reflection_orbit,1,1.117802405892404
6,6,3,eSWAP,2,x_0,reflection_orbit,2,0.931811176804432
6,6,3,eSWAP,2,x_0,reflection_orbit,3,0.8933040909581323
6,6,3,eSWAP,2,x_0,reflection_orbit,4,0.6957059821093897
6,6,3,eSWAP,2,x_0,reflection_orbit,5,0.9632393148828473
6,6,3,eSWAP,2,x_0,reflection_orbit,6,0.6914741858900368
6,6,3,eSWAP,3,y_1,reflection_orbit,1,0.4168699963811877
6,6,3,eSWAP,3,y_1,reflection_orbit,2,0.4852122788151533
6,6,3,eSWAP,3,y_1,reflection_orbit,3,0.39582970643928733
6,6,3,eSWAP,3,y_0,reflection_orbit,1,0.6303653328372041
6,6,3,eSWAP,3,y_0,reflection_orbit,2,0.5886476481535777
6,6,3,eSWAP,3,y_0,reflection_orbit,3,0.584558562025312
6,6,3,eSWAP,3,y_0,reflection_orbit,4,0.6269251790488171
6,6,3,eSWAP,3,y_0,reflection_orbit,5,0.5923721035754375
6,6,3,eSWAP,3,y_0,reflection_orbit,6,0.4782543079152484
6,6,3,eSWAP,3,x_1,reflection_orbit,1,0.4420206916845217
6,6,3,eSWAP,3,x_1,reflection_orbit,2,0.41110084999015456
6,6,3,eSWAP,3,x_1,reflection_orbit,3,0.3401364326128573
6,6,3,eSWAP,3,x_0,reflection_orbit,1,0.8224395205091805
6,6,3,eSWAP,3,x_0,reflection_orbit,2,0.3684580537580917
6,6,3,eSWAP,3,x_0,reflection_orbit,3,0.4152224905287555
6,6,3,eSWAP,3,x_0,reflection_orbit,4,0.3000520259951985
6,6,3,eSWAP,3,x_0,reflection_orbit,5,0.6064277340016654
6,6,3,eSWAP,3,x_0,reflection_orbit,6,0.3431173599431463
