N_b,block,yo,ye,xo,xe
3,1,-2.9580419063568115,0.3977057933807373,0.3671133518218994,1.2319138050079346
3,2,0.3298919200897217,0.5582370758056641,0.6397020816802979,0.8239128589630127
3,3,0.4211750030517578,0.5508153438568115,0.35036540031433105,0.42903900146484375
4,1,-2.990001916885376,0.30895304679870605,0.289839506149292,1.1611244678497314
4,2,0.29198336601257324,0.5094752311706543,0.5758969783782959,0.9029200077056885
4,3,0.3720414638519287,0.5652816295623779,0.585456132888794,0.7147791385650635
4,4,0.41757655143737793,0.4705240726470947,0.33724164962768555,0.30496978759765625
5,1,-2.980458654380424,0.25161538189497046,0.22440101372160992,1.2226089464106291
5,2,0.28860007569751955,0.4841596662307559,0.5227008500206889,0.9458497841701092
5,3,0.3724166286668642,0.5643837735190793,0.5827671949287581,0.83514116823947
5,4,0.40206899897548887,0.5411574271867035,0.5740363753204307,0.5866160389484012
5,5,0.3998490001651325,0.4198871907074011,0.26756072676070985,0.2623005993420291
