L_x,L_y,N_b,gate,block,matching,sharing,orbit_index,angle_rad
4,4,3,eSWAP,1,y_1,layer,,-2.9579949378967285
4,4,3,eSWAP,1,y_0,layer,,0.39772769808769226
4,4,3,eSWAP,1,x_1,layer,,0.3670109808444977
4,4,3,eSWAP,1,x_0,layer,,1.2319667339324951
4,4,3,eSWAP,2,y_1,layer,,0.32986944913864136
4,4,3,eSWAP,2,y_0,layer,,0.5584115982055664
4,4,3,eSWAP,2,x_1,layer,,0.6396933794021606
4,4,3,eSWAP,2,x_0,layer,,0.8239349126815796
4,4,3,eSWAP,3,y_1,layer,,0.4213123619556427
4,4,3,eSWAP,3,y_0,layer,,0.5508972406387329
4,4,3,eSWAP,3,x_1,layer,,0.35022976994514465
4,4,3,eSWAP,3,x_0,layer,,0.42903226613998413
4,4,3,SW,1,y_1,layer,,0.42351427294582533
4,4,3,SW,1,y_0,layer,,0.42492046664041866
4,4,3,SW,1,x_1,layer,,0.4278036697614307
4,4,3,SW,1,x_0,layer,,0.4276145215727303
4,4,4,eSWAP,1,y_1,layer,,3.0738962093667497
4,4,4,eSWAP,1,y_0,layer,,0.05733602913271447
4,4,4,eSWAP,1,x_1,layer,,0.07768880171630076
4,4,4,eSWAP,1,x_0,layer,,-4.420120611772795
4,4,4,eSWAP,2,y_1,layer,,-2.9554596197674368
4,4,4,eSWAP,2,y_0,layer,,0.4206533252518602
4,4,4,eSWAP,2,x_1,layer,,0.40328173241369614
4,4,4,eSWAP,2,x_0,layer,,1.2430559001915495
4,4,4,eSWAP,3,y_1,layer,,0.3904283143197307
4,4,4,eSWAP,3,y_0,layer,,0.5790356344624681
4,4,4,eSWAP,3,x_1,layer,,0.6130796275324384
4,4,4,eSWAP,3,x_0,layer,,0.8109947839419362
4,4,4,eSWAP,4,y_1,layer,,0.47190925215374346
4,4,4,eSWAP,4,y_0,layer,,0.5433465826341505
4,4,4,eSWAP,4,x_1,layer,,0.3155878235258638
4,4,4,eSWAP,4,x_0,layer,,0.40741149461973303
4,4,4,SW,1,y_1,layer,,0.42350085543932536
4,4,4,SW,1,y_0,layer,,0.42520441070506965
4,4,4,SW,1,x_1,layer,,0.4280518929631608
4,4,4,SW,1,x_0,layer,,0.4279696692407737
4,4,5,eSWAP,1,y_1,layer,,2.9876450461885504
4,4,5,eSWAP,1,y_0,layer,,0.04342470612746672
4,4,5,eSWAP,1,x_1,layer,,0.12665384856176476
4,4,5,eSWAP,1,x_0,layer,,-4.543124113063598
4,4,5,eSWAP,2,y_1,layer,,-3.0433593204309966
4,4,5,eSWAP,2,y_0,layer,,0.33299981368053116
4,4,5,eSWAP,2,x_1,layer,,0.3596363020877405
4,4,5,eSWAP,2,x_0,layer,,1.1566671506479136
4,4,5,eSWAP,3,y_1,layer,,0.3951552264719615
4,4,5,eSWAP,3,y_0,layer,,0.5328967597690508
4,4,5,eSWAP,3,x_1,layer,,0.5173556844523094
4,4,5,eSWAP,3,x_0,layer,,0.8940803745891457
4,4,5,eSWAP,4,y_1,layer,,0.4383986726560165
4,4,5,eSWAP,4,y_0,layer,,0.5747230183330199
4,4,5,eSWAP,4,x_1,layer,,0.5296750998384522
4,4,5,eSWAP,4,x_0,layer,,0.6650536109576467
4,4,5,eSWAP,5,y_1,layer,,0.43478780669863254
4,4,5,eSWAP,5,y_0,layer,,0.4384882232898626
4,4,5,eSWAP,5,x_1,layer,,0.26657214183766376
4,4,5,eSWAP,5,x_0,layer,,0.2757041378378558
4,4,5,SW,1,y_1,layer,,0.42333262640972685
4,4,5,SW,1,y_0,layer,,0.42570080078562966
4,4,5,SW,1,x_1,layer,,0.4277138272144645
4,4,5,SW,1,x_0,layer,,0.42864675314604067
